,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
991,991,1503599968660,-5,14,3,1,-1,-12,0,-11
992,992,1503599968667,-10,-23,11,3,7,20,18,-4
993,993,1503599968682,-65,24,12,6,6,23,16,0
994,994,1503599968690,-46,6,10,-4,-11,-19,13,-3
995,995,1503599968699,21,-39,-23,-7,1,16,-13,-14
996,996,1503599968713,-40,-15,-2,-1,-4,-14,-7,-11
997,997,1503599968720,13,-31,1,3,0,-4,4,-5
998,998,1503599968727,29,44,-2,-8,-11,-24,-23,-11
999,999,1503599968742,-7,-22,-15,-4,2,12,3,5
1000,1000,1503599968750,2,18,17,3,2,-30,-2,1
1001,1001,1503599968758,8,95,34,8,-9,-27,9,8
1002,1002,1503599968773,22,-29,-8,-3,-3,-12,-10,2
1003,1003,1503599968788,7,-15,-15,-8,-7,3,-5,5
1004,1004,1503599968789,17,-4,-1,-1,-1,1,-10,1
1005,1005,1503599968802,-11,-3,-5,-1,-1,3,1,4
1006,1006,1503599968810,21,-3,-14,-4,-5,-13,-1,6
1007,1007,1503599968818,-17,14,13,0,-10,-16,-5,8
1008,1008,1503599968834,-1,-9,-5,-6,-9,6,10,-1
1009,1009,1503599968843,2,8,2,5,6,3,-3,-4
1010,1010,1503599968848,-30,-2,4,7,-3,17,3,6
1011,1011,1503599968866,-30,-63,-13,-4,5,0,19,8
1012,1012,1503599968870,5,12,-22,-10,0,-1,0,-14
1013,1013,1503599968878,8,-17,-1,12,6,11,9,-2
1014,1014,1503599968892,4,6,13,7,-4,19,0,9
1015,1015,1503599968909,-7,-7,14,6,12,18,-3,0
1016,1016,1503599968923,8,25,5,-3,0,-32,2,5
1017,1017,1503599968932,13,3,0,-2,4,0,-7,-1
1018,1018,1503599968938,29,20,1,-2,3,16,8,-20
1019,1019,1503599968953,26,86,19,1,4,-1,-8,-3
1020,1020,1503599968960,18,-3,-14,-6,-3,-13,-20,2
1021,1021,1503599968969,-6,-66,-25,-3,-5,-1,3,-8
1022,1022,1503599968982,3,-13,16,9,9,12,-3,8
1023,1023,1503599968990,7,11,-6,-1,7,2,-1,2
1024,1024,1503599969000,-23,-39,-11,-4,-4,7,-7,-4
1431,1431,1503599973010,28,24,9,5,7,-1,-29,-27
1432,1432,1503599973018,12,2,6,-1,0,-10,4,16
1433,1433,1503599973032,38,20,-2,-2,0,6,9,16
1434,1434,1503599973040,-9,4,-1,-2,-4,-8,28,0
1435,1435,1503599973048,-77,-25,-11,-2,5,10,9,6
1436,1436,1503599973070,-2,0,-4,-5,-6,12,-10,-8
1437,1437,1503599973071,15,26,2,0,0,-2,2,-9
1438,1438,1503599973078,-6,24,-6,-1,-2,-1,-1,4
1439,1439,1503599973095,-20,-18,-6,-1,-1,1,-8,7
1440,1440,1503599973100,-11,-7,-3,-3,-3,-24,-10,2
1441,1441,1503599973107,-3,-6,0,-3,1,-8,2,8
1442,1442,1503599973123,-1,5,-3,-1,-10,1,-2,-9
1443,1443,1503599973130,-31,-33,-11,-3,-7,29,4,11
1444,1444,1503599973138,24,4,3,7,5,-6,-2,-2
1445,1445,1503599973152,28,-12,0,1,-2,-15,2,-6
1446,1446,1503599973163,9,-9,-3,-6,0,2,-2,14
1447,1447,1503599973167,17,15,7,4,-3,-8,-17,0
1448,1448,1503599973183,-14,-8,-4,-2,2,12,10,11
1449,1449,1503599973190,31,5,5,-1,1,-3,5,1
1450,1450,1503599973199,6,-22,-2,0,4,-16,2,-5
1451,1451,1503599973212,-11,11,-4,-8,-3,-3,-3,-17
1452,1452,1503599973220,-50,-2,2,-3,-2,-12,-10,9
1453,1453,1503599973235,-20,3,-2,-1,0,-4,3,3
1454,1454,1503599973243,8,-15,-7,-4,0,1,-14,-2
1455,1455,1503599973252,15,10,0,-4,1,-2,1,0
1456,1456,1503599973265,-7,8,-8,2,-1,10,2,-2
1457,1457,1503599973272,6,4,7,5,-2,-5,-1,1
1458,1458,1503599973280,-10,-36,-10,0,2,-2,-12,-7
1459,1459,1503599973296,-10,7,4,-2,-4,-8,-7,-8
1460,1460,1503599973303,-1,16,20,4,-1,-5,6,5
1461,1461,1503599973310,5,-14,4,1,-1,-3,1,10
1462,1462,1503599973325,-37,-13,-2,-3,-1,0,-8,-11
1463,1463,1503599973333,0,-14,-7,-2,2,15,7,4
1464,1464,1503599973340,1,-13,2,1,-3,-6,2,-21
1465,1465,1503599973355,15,14,-6,-3,0,2,1,1
1466,1466,1503599973363,-18,1,7,4,5,22,3,-1
1467,1467,1503599973370,11,-15,-7,-1,-5,-8,-3,0
1468,1468,1503599973385,11,4,-5,-1,-5,-6,-4,25
1469,1469,1503599973392,14,3,-1,0,2,20,-11,-3
1470,1470,1503599973400,16,16,-3,-4,-8,-3,1,9
1471,1471,1503599973415,1,-11,-2,0,1,-16,-17,-10
1472,1472,1503599973423,-1,0,-6,-3,7,11,8,14
1473,1473,1503599973430,-12,-10,-10,-1,-3,-6,-7,-3
1474,1474,1503599973445,-36,-8,-10,-5,-1,-6,4,2
1475,1475,1503599973452,-32,-9,14,4,-3,-16,10,-12
1476,1476,1503599973460,40,15,4,-1,-10,-8,-8,-4
1477,1477,1503599973475,19,-13,-4,-3,5,1,18,24
1478,1478,1503599973483,40,36,6,3,3,-28,6,13
1479,1479,1503599973490,-24,12,6,0,-11,4,8,-26
1480,1480,1503599973506,-37,-24,-15,-7,-2,8,-3,-18
1481,1481,1503599973512,-38,1,5,4,3,-7,5,-14
