,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1382,1382,1503701153361,0,-9,-1,0,-3,-9,-13,2
1383,1383,1503701153367,2,-15,0,2,6,1,0,5
1384,1384,1503701153375,16,4,-1,-2,0,-4,-3,-16
1385,1385,1503701153390,-21,-5,-1,1,9,-14,-7,-2
1386,1386,1503701153399,28,7,-1,0,-5,-1,1,3
1387,1387,1503701153405,4,-4,2,3,4,4,-1,-15
1388,1388,1503701153423,-12,-1,2,-2,28,21,6,12
1389,1389,1503701153428,-2,8,-3,-1,-8,1,-2,0
1390,1390,1503701153435,-13,0,3,3,1,4,7,24
1391,1391,1503701153450,-17,-15,-4,0,3,5,1,-7
1392,1392,1503701153458,2,-8,-5,-1,-10,-9,-4,-5
1393,1393,1503701153465,-3,7,-2,0,-1,-15,-5,-4
1394,1394,1503701153480,-16,-1,-1,-3,-10,-3,2,-1
1395,1395,1503701153489,1,0,8,8,1,6,4,5
1396,1396,1503701153495,-4,-4,-1,-4,-11,-7,-1,-7
1397,1397,1503701153509,10,10,2,-2,5,4,-1,-18
1398,1398,1503701153517,6,10,1,-2,-9,-10,-4,4
1399,1399,1503701153525,-2,-2,5,4,25,12,3,1
1400,1400,1503701153540,20,16,0,-3,-1,0,0,9
1401,1401,1503701153547,-3,-4,2,0,-10,-6,-8,5
1402,1402,1503701153557,1,-11,6,8,8,7,9,10
1403,1403,1503701153570,2,-1,0,-3,-6,1,0,5
1404,1404,1503701153577,5,-9,-4,0,-5,0,-4,0
1405,1405,1503701153584,1,-14,-5,-5,-5,-2,-1,-13
1406,1406,1503701153600,7,22,0,3,1,-1,7,-9
1407,1407,1503701153607,1,14,-4,-4,-4,-4,3,11
1408,1408,1503701153615,-14,-17,-3,-1,-1,3,2,-14
1409,1409,1503701153630,0,-8,-5,-5,-8,-3,-4,-11
1410,1410,1503701153637,-19,2,-3,-3,-11,-9,-4,-12
1411,1411,1503701153644,-3,-1,3,3,29,15,1,3
1412,1412,1503701153660,-2,1,0,-2,4,-1,-2,-1
1413,1413,1503701153667,-15,-21,3,3,-5,-4,-2,-6
1414,1414,1503701153675,7,-18,-4,-5,1,-13,-10,7
1415,1415,1503701153691,12,4,-3,0,-10,-3,-1,2
1416,1416,1503701153698,-9,-3,-8,-2,-4,3,-3,0
1417,1417,1503701153712,19,20,-1,-2,-4,-1,0,9
1418,1418,1503701153720,-3,1,-1,1,6,7,-2,-4
1419,1419,1503701153727,-9,8,2,10,-2,-5,3,4
1420,1420,1503701153742,5,0,-3,2,6,3,-1,-8
1421,1421,1503701153750,-11,-14,0,-5,-10,-2,-1,4
1422,1422,1503701153758,9,0,9,7,6,1,-2,6
1423,1423,1503701153772,-1,2,-6,-2,-1,-4,-5,-13
1424,1424,1503701153780,-1,-1,-1,-6,-15,-5,-1,-11
1425,1425,1503701153787,3,-3,-2,-2,-3,4,-1,5
1426,1426,1503701153802,-2,2,5,-1,-4,-1,0,11
1427,1427,1503701153810,-5,-4,-3,-2,-1,-35,-19,-13
1428,1428,1503701153818,5,7,-2,-3,-4,-4,-2,0
1707,1707,1503701156569,10,9,0,-3,7,5,-4,-7
1708,1708,1503701156577,-2,-8,-8,-8,-8,-2,2,10
1709,1709,1503701156585,20,4,-1,-6,-19,-7,-4,2
1710,1710,1503701156586,-8,1,1,5,30,6,2,6
1711,1711,1503701156599,-6,-18,-8,-3,-1,-3,0,-5
1712,1712,1503701156607,8,-6,-2,-3,-7,-12,-8,-8
1713,1713,1503701156615,4,7,4,4,-15,-5,-1,-5
1714,1714,1503701156629,-26,-8,3,-2,-6,6,6,7
1715,1715,1503701156636,15,-4,-4,-4,2,-1,-2,-17
1716,1716,1503701156645,4,12,-6,-2,-10,-2,-1,11
1717,1717,1503701156659,0,7,0,0,-6,-6,-2,8
1718,1718,1503701156667,4,-11,-7,-1,-3,-4,-3,-10
1719,1719,1503701156674,15,10,3,1,3,2,2,-11
1720,1720,1503701156689,-14,-18,-8,-4,-4,-3,-1,0
1721,1721,1503701156696,6,4,0,2,-1,-1,4,14
1722,1722,1503701156704,6,-1,-1,-2,0,2,-1,2
1723,1723,1503701156719,-3,-2,0,-1,-4,-2,-1,4
1724,1724,1503701156727,-15,-6,6,3,0,-2,-2,-5
1725,1725,1503701156741,-7,-7,-7,-7,-18,-9,-6,-4
1726,1726,1503701156750,7,3,6,6,25,17,0,4
1727,1727,1503701156756,-6,-3,-2,-2,-8,-8,-7,-10
1728,1728,1503701156764,7,-6,-2,-4,-12,-6,-2,-7
1729,1729,1503701156779,-12,-3,7,1,11,7,3,-5
1730,1730,1503701156787,-7,5,-4,-2,-5,-2,6,11
1731,1731,1503701156794,1,-5,4,1,3,-1,-3,9
1732,1732,1503701156810,12,10,0,-2,-7,-8,-1,13
1733,1733,1503701156816,6,5,-3,2,21,7,2,7
1734,1734,1503701156824,17,5,-5,-2,0,8,-1,-4
1735,1735,1503701156839,-7,-4,1,3,7,0,12,1
1736,1736,1503701156848,2,2,2,-3,-7,-4,-4,-16
1737,1737,1503701156855,-9,-12,-2,-1,-4,3,0,-3
1738,1738,1503701156869,7,-10,-8,-2,-9,-1,4,-4
1739,1739,1503701156876,32,4,-1,-2,-9,-14,-15,-4
1740,1740,1503701156884,23,4,5,-2,-2,-4,-5,2
1741,1741,1503701156899,-31,2,-4,0,30,3,0,-4
1742,1742,1503701156907,-20,-14,1,2,2,-2,-2,2
1743,1743,1503701156916,27,16,0,-4,-14,-3,-3,-4
1744,1744,1503701156929,-15,-1,2,-2,-1,-26,-11,-20
1745,1745,1503701156936,-3,0,1,1,-1,-13,-16,-9
1746,1746,1503701156946,0,-3,0,7,-6,3,3,-1
1747,1747,1503701156959,12,2,-3,-2,-1,4,2,-13
1748,1748,1503701156967,-4,-2,-5,-1,9,1,-3,4
1749,1749,1503701156974,-19,-8,-1,-10,-7,7,11,25
1750,1750,1503701156989,1,-4,-3,-2,5,1,-4,-6
1751,1751,1503701156996,-10,-13,-5,-7,-20,0,1,0
1752,1752,1503701157004,-9,18,0,-5,-7,1,3,19
1753,1753,1503701157020,0,12,10,-3,-6,0,-1,-3
1754,1754,1503701157028,-6,-9,-3,7,2,3,-1,-9
1755,1755,1503701157034,-10,8,9,40,93,16,4,-1
1756,1756,1503701157050,4,12,3,0,-3,3,2,5
1757,1757,1503701157056,6,-10,-8,-11,-32,-5,-6,-4
1758,1758,1503701157064,4,1,9,6,11,1,3,5
1759,1759,1503701157082,-1,-12,-9,0,1,-1,-1,-7
1760,1760,1503701157090,-22,-17,-5,-6,-3,-4,3,-3
