,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
841,841,1503959178305,-8,-1,-1,7,2,-1,-6,-6
842,842,1503959178313,7,-2,5,-7,-4,0,5,5
843,843,1503959178328,0,-4,-5,-5,-8,-4,1,-4
844,844,1503959178335,3,-4,-12,11,1,1,8,-5
845,845,1503959178349,6,-2,5,0,2,1,1,-1
846,846,1503959178357,13,30,18,-5,-1,-1,-9,-25
847,847,1503959178365,5,-3,0,-5,-1,1,5,14
848,848,1503959178380,-21,31,2,13,1,0,0,-27
849,849,1503959178388,-8,8,9,-5,3,1,1,-5
850,850,1503959178395,1,-25,-12,-5,-1,1,4,37
851,851,1503959178409,-15,-8,-1,-10,-10,-3,-3,9
852,852,1503959178417,-4,-5,-10,-10,-23,-10,-7,-5
853,853,1503959178425,3,-2,-13,4,3,-6,-5,-30
854,854,1503959178440,7,-10,-4,-2,5,2,-5,3
855,855,1503959178447,-9,-1,-3,0,-6,1,2,8
856,856,1503959178457,-7,-13,7,-1,3,-2,-1,-1
857,857,1503959178469,23,5,4,10,7,0,6,-10
858,858,1503959178477,-2,-13,3,0,1,3,-3,-1
859,859,1503959178506,-6,-17,-7,-8,-6,-3,-6,-13
860,860,1503959178507,1,2,4,-6,-1,1,1,13
861,861,1503959178508,16,16,-11,8,0,1,0,8
862,862,1503959178509,-5,3,-7,-3,1,-2,-7,-1
863,863,1503959178515,-10,-8,1,-7,0,-1,2,-16
864,864,1503959178530,-6,-3,-2,-3,-3,0,0,2
865,865,1503959178537,-3,-10,4,-6,0,-3,-1,9
866,866,1503959178545,-12,-8,-2,1,2,0,-2,-10
867,867,1503959178560,21,2,1,4,18,1,-5,-16
868,868,1503959178567,-1,-12,-12,0,-3,0,4,13
869,869,1503959178576,0,14,16,10,2,0,5,15
870,870,1503959178590,-8,-2,-5,-5,-5,-1,-6,-10
871,871,1503959178597,0,-7,-14,-4,-5,-1,0,-12
872,872,1503959178605,9,16,1,3,-1,2,3,13
873,873,1503959178621,-25,-10,-2,-1,-3,-2,-3,-8
874,874,1503959178628,10,1,1,-3,2,-4,-3,-1
875,875,1503959178635,-2,-10,-12,1,-6,0,6,10
876,876,1503959178649,-3,-4,0,8,4,0,-21,-11
877,877,1503959178657,-11,-3,5,-5,2,0,0,2
878,878,1503959178665,2,-11,4,-8,-3,-1,1,-16
879,879,1503959178680,-4,-5,-4,0,4,-3,-1,1
880,880,1503959178689,-6,-7,0,2,5,-1,4,14
881,881,1503959178695,6,16,-3,0,5,0,-3,-4
882,882,1503959178709,-1,21,10,0,-3,-4,-4,-21
883,883,1503959178717,-14,-18,-3,2,-8,-2,2,-1
884,884,1503959178726,-18,-11,-7,-3,-5,0,3,16
885,885,1503959178739,3,25,8,5,2,2,0,0
886,886,1503959178747,-4,-20,-1,-2,-3,-3,-5,5
887,887,1503959178756,-3,-28,-18,-1,-8,-2,1,-11
888,888,1503959178769,0,-12,5,11,0,-4,4,14
889,889,1503959178777,5,-25,10,-21,-6,-9,-10,-6
890,890,1503959178785,1,19,14,-5,2,0,-1,-3
891,891,1503959178800,-1,11,2,4,1,4,-1,2
892,892,1503959178807,6,-13,-18,-8,-8,3,3,-7
893,893,1503959178816,-8,15,-1,-3,-7,2,-1,2
894,894,1503959178831,-1,-8,-3,-1,-10,-4,-7,-24
895,895,1503959178837,-1,-15,-16,4,-5,0,5,11
896,896,1503959178844,0,19,16,5,2,-3,1,7
897,897,1503959178860,1,-3,-7,-4,0,-3,-5,-6
898,898,1503959178867,-23,-20,-8,-6,3,0,2,-2
899,899,1503959178875,-11,2,-6,-6,-12,-1,-2,10
900,900,1503959178892,4,15,2,-6,-1,0,-1,-1
901,901,1503959178897,9,2,0,-2,-7,1,-4,-3
902,902,1503959178904,0,19,-2,6,1,0,-1,3
903,903,1503959178919,-5,2,0,1,15,0,1,-4
904,904,1503959178927,9,3,3,2,-1,0,0,10
905,905,1503959178935,-6,-13,1,0,3,1,5,2
