,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1154,1154,1503612772559,7,12,2,-3,-7,-2,1,0
1155,1155,1503612772576,5,-9,-1,-2,-15,-5,-12,-12
1156,1156,1503612772581,-9,4,4,-4,-1,-3,3,-3
1157,1157,1503612772590,5,-5,-3,-2,-4,-2,5,9
1158,1158,1503612772603,-1,0,1,3,5,-1,-3,4
1159,1159,1503612772610,5,-2,1,0,0,-4,-11,2
1160,1160,1503612772627,-3,-14,-3,-1,-2,-1,4,-2
1161,1161,1503612772633,-4,9,6,4,3,2,8,-64
1162,1162,1503612772641,-28,46,9,0,-7,-6,-12,-11
1163,1163,1503612772648,1,-9,-3,0,9,3,4,23
1164,1164,1503612772663,11,-21,-10,-6,-2,0,2,-10
1165,1165,1503612772670,0,1,-1,4,5,-3,0,13
1166,1166,1503612772678,16,10,7,3,3,1,6,12
1167,1167,1503612772693,-1,-8,-4,-2,-8,-1,3,11
1168,1168,1503612772701,6,-12,-6,-1,-1,2,3,3
1169,1169,1503612772708,-1,-11,-5,-3,-1,1,0,1
1170,1170,1503612772723,6,29,9,5,-2,-3,-5,3
1171,1171,1503612772724,-2,0,2,2,0,1,2,0
1172,1172,1503612772730,18,12,-1,-2,-2,-3,-8,0
1173,1173,1503612772738,13,0,0,-2,0,0,-1,-1
1174,1174,1503612772755,2,10,1,-1,5,0,1,5
1175,1175,1503612772763,2,9,2,0,-1,1,-5,-6
1176,1176,1503612772768,-9,-1,3,1,-1,-1,2,3
1177,1177,1503612772783,-16,-20,-8,-2,-6,-1,1,1
1178,1178,1503612772791,2,9,4,-2,-9,-4,0,5
1179,1179,1503612772799,8,-5,-4,-1,-3,-4,-7,-4
1180,1180,1503612772813,7,-21,-7,-4,-3,-2,2,2
1181,1181,1503612772824,9,-4,-3,-1,3,3,16,1
1182,1182,1503612772828,-13,7,5,3,1,0,1,16
1183,1183,1503612772843,-11,5,2,0,-1,-2,-5,-1
1184,1184,1503612772851,-4,-6,-6,-4,-5,1,-7,39
1185,1185,1503612772858,1,9,1,2,0,-1,3,-12
1186,1186,1503612772859,6,6,-2,-3,-1,-3,-2,5
1187,1187,1503612772873,-3,-2,-2,-4,-1,0,-5,5
1188,1188,1503612772881,10,-6,-5,-4,-6,-4,-6,1
1189,1189,1503612772889,-7,-5,-5,-5,-8,-5,-5,-23
1190,1190,1503612772903,-7,-6,0,2,8,2,-2,-5
1191,1191,1503612772910,-3,5,3,2,-1,-1,0,-10
1192,1192,1503612772918,-7,-14,0,-5,-4,-2,-3,8
1193,1193,1503612772933,-5,-18,-8,-5,0,-4,5,-5
1194,1194,1503612772941,-13,4,-2,1,-1,1,1,-4
1531,1531,1503612776249,4,1,1,0,1,3,2,1
1532,1532,1503612776262,4,0,0,2,-1,-1,0,-5
1533,1533,1503612776270,9,-2,4,0,-2,-3,-1,19
1534,1534,1503612776279,-16,-2,2,-2,-2,0,0,-6
1535,1535,1503612776293,-6,-7,-7,-1,-1,0,2,-12
1536,1536,1503612776299,2,2,1,0,0,-3,0,-4
1537,1537,1503612776308,-1,4,0,1,1,1,1,-2
1538,1538,1503612776323,8,1,-3,0,-1,0,-15,1
1539,1539,1503612776330,0,2,1,-1,0,0,-3,-8
1540,1540,1503612776338,6,-2,0,0,7,9,2,17
1541,1541,1503612776353,-2,3,0,-1,-6,-11,-11,-11
1542,1542,1503612776359,17,0,-2,-1,-5,-2,1,1
1543,1543,1503612776368,10,10,2,-1,-3,0,-3,-5
1544,1544,1503612776385,-3,-1,3,-1,-1,-3,1,-11
1545,1545,1503612776390,-10,-2,-3,-2,-1,-1,2,0
1546,1546,1503612776406,2,4,0,1,13,10,8,0
1547,1547,1503612776413,-3,3,-2,-1,1,-1,-2,-3
1548,1548,1503612776421,-1,-7,-4,-1,-8,-2,0,-9
1549,1549,1503612776428,-9,-9,-1,0,-7,0,1,-2
1550,1550,1503612776443,-5,-3,-6,-3,-8,-8,-3,-5
1551,1551,1503612776451,1,-3,-3,0,-2,0,-1,1
1552,1552,1503612776466,-2,0,-2,-1,-1,0,1,-21
1553,1553,1503612776482,4,3,5,0,11,1,4,-1
1554,1554,1503612776483,18,1,-1,-2,1,-7,-6,-2
1555,1555,1503612776489,-3,0,1,-1,-2,1,3,2
1556,1556,1503612776504,-8,-1,-2,-1,1,4,-1,7
1557,1557,1503612776510,14,56,15,5,2,0,3,31
1558,1558,1503612776526,-9,6,12,2,0,-1,1,19
1559,1559,1503612776533,-6,-23,-10,-5,-7,-3,1,-4
1560,1560,1503612776542,-6,-8,-6,-1,-4,-6,-11,2
1561,1561,1503612776548,-10,-7,-2,0,-4,-1,-2,-6
1562,1562,1503612776563,9,1,1,-2,-2,-2,6,-4
1563,1563,1503612776570,5,-2,-5,-3,1,1,-7,-26
1564,1564,1503612776586,-1,7,0,0,-5,-5,-2,5
1565,1565,1503612776593,9,-7,-2,0,2,0,1,3
1566,1566,1503612776601,-9,0,1,0,2,3,3,-9
1567,1567,1503612776609,3,-10,-8,-2,1,12,3,-1
1568,1568,1503612776623,9,1,-2,0,-1,3,-1,0
1569,1569,1503612776630,-1,0,2,0,3,-6,-4,-8
1570,1570,1503612776653,8,-1,-2,-2,2,-2,-3,2
1571,1571,1503612776661,-8,-11,-8,-1,1,-4,-2,1
1572,1572,1503612776675,10,10,0,1,-1,3,0,-2
1573,1573,1503612776676,-9,3,4,3,3,-1,1,0
1574,1574,1503612776684,-8,0,0,-2,-8,-1,-8,-9
1575,1575,1503612776690,-11,1,3,1,6,0,-4,-3
1576,1576,1503612776706,2,14,6,0,0,0,2,-1
1577,1577,1503612776713,-7,-3,-2,-3,-3,-6,-7,-13
1578,1578,1503612776722,16,10,1,0,3,0,1,6
1579,1579,1503612776735,-3,-16,-4,-1,-3,-12,-6,0
1580,1580,1503612776743,30,66,16,2,-1,-4,4,17
1581,1581,1503612776751,-20,-12,8,2,-3,1,-3,9
1582,1582,1503612776767,-14,-28,-8,-3,-3,-4,-1,2
1583,1583,1503612776774,0,-6,-9,-5,-5,0,8,0
1584,1584,1503612776786,-12,-11,-5,-1,1,2,1,-11
1585,1585,1503612776795,1,-15,-6,1,0,3,-4,-5
1586,1586,1503612776803,-6,-15,-6,-4,-2,0,6,-6
1587,1587,1503612776810,-21,-13,-1,0,-2,-3,-2,-2
1588,1588,1503612776826,-25,-21,-3,-1,-11,-4,3,-30
1589,1589,1503612776833,14,9,-1,-2,3,6,6,13
1590,1590,1503612776841,-2,-10,-1,-1,-5,-3,-9,10
1591,1591,1503612776856,6,5,-3,-5,-9,-1,1,-2
1592,1592,1503612776863,6,4,0,1,4,1,3,4
1593,1593,1503612776870,10,10,1,1,1,-4,-2,4
1594,1594,1503612776886,1,-2,-3,0,0,3,-1,-2
1595,1595,1503612776893,1,4,-4,-2,2,0,0,-8
1596,1596,1503612776901,11,32,7,3,5,1,-1,6
