SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
0,1.50352E+12,-2,-1,0,0,-3,-2,0,-2,1.164964745,-1.25,-3,0,1.658312395,-10+0j,0.29289321881345265-2.121320343559643j,-5+1j,1.7071067811865475-2.121320343559643j,0j,1.7071067811865475+2.121320343559643j,-5-1j,0.29289321881345265+2.121320343559643j,100,4.585786438,26,7.414213562,0,7.414213562,26,4.585786438
1,1.50352E+12,-1,0,-1,0,-2,-1,-2,2,1.302470181,-0.625,-2,2,1.369306394,-5+0j,3.1213203435596424-0.2928932188134523j,3j,-1.1213203435596424+1.7071067811865477j,-7+0j,-1.1213203435596424-1.7071067811865477j,-3j,3.1213203435596424+0.2928932188134523j,25,9.828427125,9,4.171572875,49,4.171572875,9,9.828427125
2,1.50352E+12,-2,-4,-1,-1,-2,0,-2,0,1.309307341,-1.5,-4,0,1.936491673,-12+0j,-2.121320343559643+2.5355339059327373j,-1+3j,2.121320343559643+4.535533905932738j,-2+0j,2.121320343559643-4.535533905932738j,-1-3j,-2.121320343559643-2.5355339059327373j,144,10.92893219,10,25.07106781,4,25.07106781,10,10.92893219
3,1.50352E+12,1,0,-2,-2,-1,-1,-1,-1,0.991031209,-0.875,-2,1,1.274754878,-7+0j,3.414213562373095+1j,3-2j,0.5857864376269051-0.9999999999999999j,1+0j,0.5857864376269051+0.9999999999999999j,3+2j,3.414213562373095-1j,49,12.65685425,13,1.343145751,1,1.343145751,13,12.65685425
4,1.50352E+12,2,2,-1,-2,-1,-2,0,0,1.58113883,-0.25,-2,2,1.5,-2+0j,7.242640687119286-0.4142135623730947j,2-2j,-1.2426406871192857-2.414213562373095j,2+0j,-1.2426406871192857+2.414213562373095j,2+2j,7.242640687119286+0.4142135623730947j,4,52.627417,8,7.372583002,4,7.372583002,8,52.627417
5,1.50352E+12,-1,-3,-2,-1,-2,-1,-1,-1,0.755928946,-1.5,-3,-1,1.658312395,-12+0j,-0.41421356237309515+2.414213562373095j,2j,2.414213562373095+0.4142135623730949j,0j,2.414213562373095-0.4142135623730949j,-2j,-0.41421356237309515-2.414213562373095j,144,6,4,6,0,6,4,6
6,1.50352E+12,0,-3,-1,0,1,-1,-2,0,1.281739889,-0.75,-3,1,1.414213562,-6+0j,-2.414213562373095+0.4142135623730949j,4+4j,0.41421356237309515+2.414213562373095j,2+0j,0.41421356237309515-2.414213562373095j,4-4j,-2.414213562373095-0.4142135623730949j,36,6,32,6,4,6,32,6
7,1.50352E+12,-3,-1,-2,0,-1,0,0,-1,1.069044968,-1,-3,0,1.414213562,-8+0j,-3.414213562373095+2j,-2-0j,-0.5857864376269051-2j,-4+0j,-0.5857864376269051+2j,-2+0j,-3.414213562373095-2j,64,15.65685425,4,4.343145751,16,4.343145751,4,15.65685425
8,1.50352E+12,-3,-1,1,-1,0,-2,-1,-1,1.195228609,-1,-3,1,1.5,-8+0j,-2.2928932188134525-2.7071067811865475j,-3+1j,-3.7071067811865475+1.2928932188134525j,2+0j,-3.7071067811865475-1.2928932188134525j,-3-1j,-2.2928932188134525+2.7071067811865475j,64,12.58578644,10,15.41421356,4,15.41421356,10,12.58578644
9,1.50352E+12,0,-1,0,0,0,0,-1,-1,0.51754917,-0.375,-1,0,0.612372436,-3+0j,-1.414213562373095-1j,1-0j,1.414213562373095+0.9999999999999999j,1+0j,1.414213562373095-0.9999999999999999j,1+0j,-1.414213562373095+1j,9,3,1,3,1,3,1,3
10,1.50352E+12,-1,-1,1,0,0,-1,0,-1,0.744023809,-0.375,-1,1,0.790569415,-3+0j,-1.7071067811865475-1.7071067811865475j,-2+1j,-0.29289321881345254+0.2928932188134524j,3+0j,-0.29289321881345254-0.2928932188134524j,-2-1j,-1.7071067811865475+1.7071067811865475j,9,5.828427125,5,0.171572875,9,0.171572875,5,5.828427125
11,1.50352E+12,-1,-3,-1,-2,-1,-2,-1,-1,0.755928946,-1.5,-3,-1,1.658312395,-12+0j,-1.1102230246251565e-16+1.414213562373095j,2j,1.1102230246251565e-16+1.414213562373095j,4+0j,1.1102230246251565e-16-1.414213562373095j,-2j,-1.1102230246251565e-16-1.414213562373095j,144,2,4,2,16,2,4,2
12,1.50352E+12,0,-3,0,-2,0,1,0,-1,1.302470181,-0.625,-3,1,1.369306394,-5+0j,-2.121320343559643+3.5355339059327373j,-1j,2.121320343559643+3.5355339059327373j,5+0j,2.121320343559643-3.5355339059327373j,1j,-2.121320343559643-3.5355339059327373j,25,17,1,17,25,17,1,17
13,1.50352E+12,-2,1,0,-1,-1,0,0,1,1.035098339,-0.25,-2,1,1,-2+0j,1.1213203435596424+0.7071067811865477j,-3-1j,-3.1213203435596424+0.7071067811865477j,-4+0j,-3.1213203435596424-0.7071067811865477j,-3+1j,1.1213203435596424-0.7071067811865477j,4,1.757359313,10,10.24264069,16,10.24264069,10,1.757359313
14,1.50352E+12,-1,1,-2,0,-2,0,-2,-1,1.125991626,-0.875,-2,1,1.369306394,-7+0j,1-1.414213562373095j,1-2j,0.9999999999999999-1.414213562373095j,-7+0j,0.9999999999999999+1.414213562373095j,1+2j,1+1.414213562373095j,49,3,5,3,49,3,5,3
15,1.50352E+12,-2,-1,-1,0,-1,-1,0,-2,0.755928946,-1,-2,0,1.224744871,-8+0j,-2.414213562373095-0.41421356237309515j,-2-0j,0.4142135623730949-2.414213562373095j,0j,0.4142135623730949+2.414213562373095j,-2+0j,-2.414213562373095+0.41421356237309515j,64,6,4,6,0,6,4,6
16,1.50352E+12,0,0,-1,-2,-1,-1,-2,1,1.035098339,-0.75,-2,1,1.224744871,-6+0j,3.82842712474619+0.41421356237309537j,2-0j,-1.8284271247461898+2.4142135623730954j,-2+0j,-1.8284271247461898-2.4142135623730954j,2+0j,3.82842712474619-0.41421356237309537j,36,14.82842712,4,9.171572875,4,9.171572875,4,14.82842712
17,1.50352E+12,1,-3,-3,1,1,-1,0,-2,1.752549164,-0.75,-3,1,1.802775638,-6+0j,-3.5355339059327378+2.292893218813452j,5+3j,3.5355339059327378-3.707106781186548j,4+0j,3.5355339059327378+3.707106781186548j,5-3j,-3.5355339059327378-2.292893218813452j,36,17.75735931,34,26.24264069,16,26.24264069,34,17.75735931
18,1.50352E+12,1,-1,0,0,-1,-1,1,-1,0.88640526,-0.25,-1,1,0.866025404,-2+0j,1.2928932188134525+0.2928932188134524j,-1+1j,2.7071067811865475-1.7071067811865475j,4+0j,2.7071067811865475+1.7071067811865475j,-1-1j,1.2928932188134525-0.2928932188134524j,4,1.757359313,2,10.24264069,16,10.24264069,2,1.757359313
