SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,STD_DEV,MEAN,MIN,MAX,RMS,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,AMP_FFT1,AMP_FFT2,AMP_FFT3,AMP_FFT4,AMP_FFT5,AMP_FFT6,AMP_FFT7,AMP_FFT8
971,1.50361E+12,-7,-8,-5,-4,-1,-2,-1,-8,2.976095237,-4.5,-8,-1,5.291502622,-36+0j,-13.071067811865476+5.414213562373094j,-2-2j,1.0710678118654755-2.5857864376269055j,8+0j,1.0710678118654755+2.5857864376269055j,-2+2j,-13.071067811865476-5.414213562373094j,1296,200.1665222,8,7.833477759,64,7.833477759,8,200.1665222
972,1.50361E+12,3,5,-6,-3,0,1,-1,8,4.454131309,0.875,-6,8,4.257346591,7+0j,13.606601717798211+9.949747468305834j,10-1j,-7.6066017177982115-0.050252531694166436j,-15+0j,-7.6066017177982115+0.050252531694166436j,10+1j,13.606601717798211-9.949747468305834j,49,284.137085,101,57.86291501,225,57.86291501,101,284.137085
973,1.50361E+12,3,-5,-5,-3,-2,-2,-1,3,3.11677489,-1.5,-5,3,3.278719262,-12+0j,7.121320343559642+10.363961030678928j,7+7j,2.878679656440358+2.3639610306789276j,2+0j,2.878679656440358-2.3639610306789276j,7-7j,7.121320343559642-10.363961030678928j,144,158.1248917,98,13.87510832,4,13.87510832,98,158.1248917
974,1.50361E+12,0,10,10,2,-1,-2,1,-4,5.264435935,2,-4,10,5.315072906,16+0j,5.2426406871192865-21.727922061357855j,-12-10j,-3.2426406871192865-3.727922061357855j,4+0j,-3.2426406871192865+3.727922061357855j,-12+10j,5.2426406871192865+21.727922061357855j,256,499.5878785,244,24.41212152,16,24.41212152,244,499.5878785
975,1.50361E+12,-3,-2,-3,-5,-2,-1,-1,-2,1.302470181,-2.375,-5,-1,2.669269563,-19+0j,0.4142135623730949+4.82842712474619j,-1-4j,-2.414213562373095+0.8284271247461903j,1+0j,-2.414213562373095-0.8284271247461903j,-1+4j,0.4142135623730949-4.82842712474619j,361,23.48528137,17,6.514718626,1,6.514718626,17,23.48528137
976,1.50361E+12,-2,2,0,0,0,1,-1,-3,1.597989809,-0.375,-3,2,1.541103501,-3+0j,-3.414213562373095-3.8284271247461903j,-1-6j,-0.5857864376269051-1.8284271247461903j,-3+0j,-0.5857864376269051+1.8284271247461903j,-1+6j,-3.414213562373095+3.8284271247461903j,9,26.3137085,37,3.686291501,9,3.686291501,37,26.3137085
977,1.50361E+12,2,-5,-1,2,0,0,-1,-3,2.375469878,-0.75,-5,2,2.34520788,-6+0j,-5.0710678118654755-4.440892098500626e-16j,4+4j,9.071067811865476-4.440892098500626e-16j,6+0j,9.071067811865476+4.440892098500626e-16j,4-4j,-5.0710678118654755+4.440892098500626e-16j,36,25.71572875,32,82.28427125,36,82.28427125,32,25.71572875
978,1.50361E+12,2,4,-2,-2,-1,0,2,2,2.199837656,0.625,-2,4,2.150581317,5+0j,8.65685424949238+4j,1-4j,-2.6568542494923797-3.9999999999999996j,-3+0j,-2.6568542494923797+3.9999999999999996j,1+4j,8.65685424949238-4j,25,90.9411255,17,23.0588745,9,23.0588745,17,90.9411255
979,1.50361E+12,-2,-6,-4,1,0,-1,-1,-5,2.49284691,-2.25,-6,1,3.240370349,-18+0j,-9.778174593052022+2.2928932188134517j,3+3j,5.7781745930520225-3.7071067811865483j,4+0j,5.7781745930520225+3.7071067811865483j,3-3j,-9.778174593052022-2.2928932188134517j,324,100.8700577,18,47.12994231,16,47.12994231,18,100.8700577
980,1.50361E+12,0,-1,0,-2,-3,-1,0,1,1.281739889,-0.75,-3,1,1.414213562,-6+0j,5.121320343559642+2.121320343559643j,-3+1j,0.8786796564403576+2.121320343559643j,0j,0.8786796564403576-2.121320343559643j,-3-1j,5.121320343559642-2.121320343559643j,36,30.72792206,10,5.272077939,0,5.272077939,10,30.72792206
981,1.50361E+12,-2,-4,-10,-6,-4,-3,-4,-4,2.445841953,-4.625,-10,-2,5.15994186,-37+0j,2.7071067811865475+8.121320343559642j,8-3j,1.2928932188134525-3.878679656440357j,-3+0j,1.2928932188134525+3.878679656440357j,8+3j,2.7071067811865475-8.121320343559642j,1369,73.28427125,73,16.71572875,9,16.71572875,73,73.28427125
982,1.50361E+12,-2,0,4,3,3,-2,-5,-2,3.181980515,-0.125,-5,4,2.979093822,-1+0j,-7.121320343559642-13.949747468305834j,2+3j,-2.878679656440358+4.050252531694167j,1+0j,-2.878679656440358-4.050252531694167j,2-3j,-7.121320343559642+13.949747468305834j,1,245.3086579,13,24.69134213,1,24.69134213,13,245.3086579
983,1.50361E+12,1,1,3,-1,-2,0,1,1,1.511857892,0.5,-2,3,1.5,4+0j,5.121320343559642-1.2928932188134523j,-5-1j,0.8786796564403576+2.707106781186548j,2+0j,0.8786796564403576-2.707106781186548j,-5+1j,5.121320343559642+1.2928932188134523j,16,27.89949494,26,8.100505063,4,8.100505063,26,27.89949494
984,1.50361E+12,0,-6,-8,-3,-1,0,1,0,3.270539492,-2.125,-8,1,3.724916106,-17+0j,-1.1213203435596433+15.363961030678928j,6+3j,3.1213203435596433-2.6360389693210724j,1+0j,3.1213203435596433+2.6360389693210724j,6-3j,-1.1213203435596433-15.363961030678928j,289,237.3086579,45,16.69134213,1,16.69134213,45,237.3086579
985,1.50361E+12,-4,-6,-1,1,-1,-4,0,2,2.774243784,-1.625,-6,2,3.061862178,-13+0j,-3.707106781186548+3.1213203435596424j,-4+13j,-2.292893218813452+1.1213203435596424j,1+0j,-2.292893218813452-1.1213203435596424j,-4-13j,-3.707106781186548-3.1213203435596424j,169,23.48528137,185,6.514718626,1,6.514718626,185,23.48528137
986,1.50361E+12,5,14,8,0,1,2,-4,-10,7.309485032,2,-10,14,7.123903424,16+0j,5.414213562373097-27.556349186104043j,2-26j,2.5857864376269033-3.556349186104045j,4+0j,2.5857864376269033+3.556349186104045j,2+26j,5.414213562373097+27.556349186104043j,256,788.666089,680,19.33391103,16,19.33391103,680,788.666089
987,1.50361E+12,-2,3,5,3,2,5,0,6,2.712405364,2.75,-2,6,3.741657387,22+0j,-3.292893218813453-1.4644660940672622j,-5+1j,-4.707106781186547+8.535533905932738j,-12+0j,-4.707106781186547-8.535533905932738j,-5-1j,-3.292893218813453+1.4644660940672622j,484,12.98780669,26,95.01219331,144,95.01219331,26,12.98780669
988,1.50361E+12,0,3,3,1,1,-2,-3,-3,2.449489743,0,-3,3,2.291287847,0j,-0.2928932188134521-12.363961030678928j,1-3j,-1.707106781186548-0.3639610306789276j,2+0j,-1.707106781186548+0.3639610306789276j,1+3j,-0.2928932188134521+12.363961030678928j,0,152.9533188,10,3.046681194,4,3.046681194,10,152.9533188
989,1.50361E+12,-5,-2,-4,-2,0,-3,-3,-3,1.488047618,-2.75,-5,0,3.082207001,-22+0j,-5-0.4142135623730949j,2-0j,-5-2.414213562373095j,-2+0j,-5+2.414213562373095j,2+0j,-5+0.4142135623730949j,484,25.17157288,4,30.82842712,4,30.82842712,4,25.17157288
990,1.50361E+12,-1,-5,-4,-1,-3,-1,0,4,2.774243784,-1.375,-5,4,2.936835031,-11+0j,2.707106781186547+10.363961030678928j,9j,1.292893218813453+2.3639610306789276j,-5+0j,1.292893218813453-2.3639610306789276j,-9j,2.707106781186547-10.363961030678928j,121,114.7401154,81,7.25988463,25,7.25988463,81,114.7401154
