,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
887,887,1503694939201,6,1,-3,-4,-6,-3,0,3
888,888,1503694939208,8,-6,-4,-2,21,2,-2,4
889,889,1503694939223,4,3,6,5,9,3,4,1
890,890,1503694939233,-22,-10,-5,-8,-17,-7,-5,-14
891,891,1503694939239,-7,-1,0,2,1,-2,-6,-8
892,892,1503694939253,13,-1,-5,-3,-2,0,6,21
893,893,1503694939261,-10,-8,-3,-2,-9,-6,-5,-10
894,894,1503694939276,-4,-10,-12,-11,-11,-1,3,-13
895,895,1503694939283,0,-3,-3,2,5,4,3,-2
896,896,1503694939298,24,10,1,1,-6,5,7,22
897,897,1503694939301,-6,0,4,4,9,0,4,8
898,898,1503694939313,5,-1,-6,3,-3,-2,-3,6
899,899,1503694939321,4,-3,-1,9,34,6,-8,-28
900,900,1503694939329,-4,-23,-23,-8,-8,-6,-6,-18
901,901,1503694939343,-1,-1,-3,-9,-22,-8,-4,3
902,902,1503694939350,-8,1,6,5,19,5,-2,10
903,903,1503694939358,-14,4,2,1,-7,0,1,4
904,904,1503694939373,-1,10,4,5,-4,-3,-1,-8
905,905,1503694939381,-9,-14,-8,-9,-15,-3,-7,-2
906,906,1503694939388,1,-16,8,-4,-4,-3,10,9
907,907,1503694939404,1,0,6,5,-2,-7,-1,-9
908,908,1503694939411,16,19,19,2,2,-1,3,13
909,909,1503694939419,2,9,-5,-4,-5,2,1,5
910,910,1503694939435,-4,-10,-19,-11,-20,-5,-8,-4
911,911,1503694939441,-3,0,-1,6,-3,-2,-2,0
912,912,1503694939448,4,16,13,7,-6,1,-4,-10
913,913,1503694939463,5,3,8,0,-2,-3,-7,7
914,914,1503694939471,-9,-19,-23,-6,9,9,23,17
915,915,1503694939479,7,-20,-13,-7,-1,0,10,19
916,916,1503694939493,-15,12,16,3,14,4,-4,-10
917,917,1503694939502,-18,2,3,9,41,3,-7,-2
918,918,1503694939509,9,16,11,4,0,0,-5,-5
919,919,1503694939523,8,2,-4,-5,-8,1,1,5
920,920,1503694939530,-14,-23,-26,-4,4,-4,-4,-10
921,921,1503694939540,5,20,14,-4,-11,-4,-1,-12
922,922,1503694939553,1,-9,-6,-8,8,1,-17,-20
923,923,1503694939561,-6,-7,1,17,42,9,2,-3
924,924,1503694939569,-10,1,6,13,30,5,-5,4
925,925,1503694939583,1,-5,-9,-6,2,-3,-4,-16
926,926,1503694939590,-3,18,15,0,-4,-5,-5,1
927,927,1503694939598,6,15,12,1,-13,2,-1,10
928,928,1503694939613,-11,14,18,5,-7,-1,-3,-7
929,929,1503694939621,-6,-27,-28,-27,-44,-21,-19,-16
930,930,1503694939629,4,-5,-8,-10,-27,-10,2,4
931,931,1503694939697,4,10,-2,-7,1,2,19,6
932,932,1503694939703,-12,-10,-4,16,35,13,16,17
933,933,1503694939711,-21,-5,-10,-2,1,0,-8,-13
934,934,1503694939719,-1,9,7,5,6,6,-2,-12
935,935,1503694939733,-29,-20,-14,2,8,2,-4,-29
936,936,1503694939741,-17,-22,-26,-13,-12,-6,-19,-13
937,937,1503694939748,27,26,11,9,8,1,1,10
938,938,1503694939763,3,-5,-1,-7,-9,-4,-2,-12
939,939,1503694939771,-12,-26,-18,-5,-4,0,-7,5
940,940,1503694939786,10,3,2,0,-5,0,5,2
941,941,1503694939792,27,3,4,-3,1,-2,3,19
942,942,1503694939803,19,14,15,1,-5,-4,5,29
943,943,1503694939816,-38,-13,-2,0,0,-3,-7,-21
944,944,1503694939823,-4,39,52,13,-2,-3,-5,-15
945,945,1503694939831,-2,-12,-12,-11,-8,-8,-14,-7
946,946,1503694939846,-5,-9,-14,-2,-7,-4,-3,-13
947,947,1503694939852,-13,-4,6,-3,-5,-3,1,-2
948,948,1503694939861,11,2,-1,3,-14,-2,1,11
949,949,1503694939875,10,7,6,7,8,6,11,12
950,950,1503694939883,-5,3,1,2,9,3,4,-2
951,951,1503694939891,7,-11,-15,-6,-11,0,-2,16
952,952,1503694939906,-27,-3,4,-4,0,2,-2,-12
953,953,1503694939913,8,3,-8,-9,-10,-3,-1,0
954,954,1503694939921,4,-2,-8,2,6,1,-2,-15
1534,1534,1503694945667,2,-7,-9,-7,-11,-3,3,14
1535,1535,1503694945681,6,-2,-1,0,5,-1,-1,-4
1536,1536,1503694945688,0,-3,-3,4,7,-2,-3,-7
1537,1537,1503694945696,-6,-4,-2,-2,-3,-3,-4,-10
1538,1538,1503694945712,18,21,11,1,-1,1,2,11
1539,1539,1503694945719,3,-1,0,-1,1,-1,-2,8
1540,1540,1503694945725,-6,3,10,3,-1,0,2,-12
1541,1541,1503694945741,6,6,3,-3,-6,-3,0,-1
1542,1542,1503694945748,-4,-7,-5,-2,-4,-3,-8,-14
1543,1543,1503694945764,0,7,-4,0,-3,1,4,1
1544,1544,1503694945771,-4,-4,8,0,0,1,1,8
1545,1545,1503694945780,-1,-3,-5,-2,-1,0,-1,-1
1546,1546,1503694945786,-11,-7,-18,-4,-3,-1,0,-37
1547,1547,1503694945801,-16,-8,-5,-4,-2,-3,-5,17
1548,1548,1503694945808,-16,-7,-16,-6,0,-2,-8,-24
1549,1549,1503694945824,10,1,-4,5,5,3,-1,-24
1550,1550,1503694945830,4,-1,-5,-2,-3,-4,-4,17
1551,1551,1503694945839,3,-4,4,-1,0,-1,0,16
1552,1552,1503694945847,-4,-1,0,1,-1,1,-1,7
1553,1553,1503694945861,4,-10,-28,-5,0,-4,1,7
1554,1554,1503694945868,-3,7,-3,-2,2,0,-1,-18
1555,1555,1503694945876,-25,-23,-15,-5,-2,-2,-2,-36
1556,1556,1503694945891,5,5,13,6,2,0,4,11
1557,1557,1503694945899,5,1,5,-2,-3,0,-2,3
1558,1558,1503694945906,8,30,29,4,3,4,-4,-6
1559,1559,1503694945921,12,13,15,5,4,5,10,30
1560,1560,1503694945928,-3,-24,-15,-4,3,1,5,10
1561,1561,1503694945944,3,8,6,13,14,-2,-7,-4
1562,1562,1503694945952,-3,-2,0,-5,-4,-2,-8,7
1563,1563,1503694945959,-35,2,7,-2,-3,-2,0,-40
1564,1564,1503694945966,6,-3,2,-2,-3,-1,2,8
1565,1565,1503694945982,-25,-6,-1,-1,-5,-2,-7,-27
1566,1566,1503694945988,-14,-12,-8,-1,-5,-2,6,-31
1567,1567,1503694946004,20,-1,-8,-4,-5,0,-8,-20
1568,1568,1503694946011,1,-1,-7,-3,-2,-1,-3,2
1569,1569,1503694946018,5,1,7,1,0,-1,-3,8
1570,1570,1503694946026,9,-3,-7,-2,-2,1,1,18
1571,1571,1503694946041,-11,-9,-8,-4,-4,-1,-5,-19
1572,1572,1503694946048,0,3,7,-2,-3,-1,4,18
1573,1573,1503694946064,32,14,3,-1,0,-1,4,14
1574,1574,1503694946070,12,-4,-10,-5,-1,-1,-5,-17
1575,1575,1503694946081,-9,2,2,1,-2,-6,-16,-26
1576,1576,1503694946085,-3,3,1,3,5,-5,-7,2
1577,1577,1503694946101,0,-5,-4,-7,-3,0,3,2
1578,1578,1503694946108,-17,-3,2,0,-1,1,-1,-15
1579,1579,1503694946124,1,8,4,0,-1,1,2,-22
1580,1580,1503694946131,-10,-12,-11,-3,-7,1,4,-19
1581,1581,1503694946139,-6,-5,5,0,1,-1,-2,9
1582,1582,1503694946148,9,-1,-3,3,1,-2,-2,19
1583,1583,1503694946161,27,5,-1,1,-1,1,8,56
1584,1584,1503694946168,6,24,6,1,0,0,4,21
1585,1585,1503694946190,-4,-6,-7,-5,-4,-1,3,10
1586,1586,1503694946192,-2,-3,2,-4,-5,-2,-5,-41
