,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
977,977,1503945524743,4,7,0,1,4,1,-1,4
978,978,1503945524751,-4,-8,-4,2,-2,-5,-9,9
979,979,1503945524766,6,4,-5,4,0,0,3,-1
980,980,1503945524774,51,6,16,1,0,0,25,88
981,981,1503945524780,-4,-4,-1,-5,-3,4,0,-2
982,982,1503945524796,-29,-1,-8,-5,1,-3,8,-12
983,983,1503945524803,-5,20,28,9,-2,-11,-8,-5
984,984,1503945524811,6,-12,-8,1,-4,0,-6,-26
985,985,1503945524825,10,0,-10,-4,-3,0,5,-1
986,986,1503945524826,-13,-17,-8,-1,-1,4,-13,-18
987,987,1503945524834,2,36,20,-1,4,-1,-3,-7
988,988,1503945524841,1,2,-4,-3,-3,-1,3,25
989,989,1503945524855,-69,-29,-9,-3,-4,-8,5,16
990,990,1503945524863,-14,13,-9,-8,-4,-2,0,8
991,991,1503945524871,35,-23,-32,-9,-4,2,-3,-30
992,992,1503945524885,-22,-25,-3,0,-2,-6,-1,-13
993,993,1503945524894,-4,-9,-5,-6,-8,-3,-5,1
994,994,1503945524901,21,16,13,13,19,28,1,-19
995,995,1503945524915,14,10,1,14,-25,-4,-8,-17
996,996,1503945524923,16,-4,-8,-2,-4,5,2,0
997,997,1503945524932,-17,-8,0,2,6,8,-6,-12
998,998,1503945524933,-2,4,-6,-2,1,4,1,-8
999,999,1503945524945,-2,7,11,1,-3,-8,2,9
1000,1000,1503945524960,19,3,3,-3,2,-5,0,4
1001,1001,1503945524961,25,1,1,0,-3,4,7,25
1002,1002,1503945524962,6,1,-14,-11,-5,-13,2,18
1003,1003,1503945524976,8,3,-6,-5,1,8,-1,-13
1004,1004,1503945524983,4,-16,-9,-3,-24,-7,-5,-4
1005,1005,1503945524991,-11,2,12,57,106,11,-5,6
1006,1006,1503945525006,6,9,5,4,18,-1,7,-13
1007,1007,1503945525013,-4,-16,-11,-27,-30,-9,-15,-21
1008,1008,1503945525028,18,-20,-15,4,-7,-8,-4,16
1009,1009,1503945525038,-1,6,-4,-11,-16,-4,4,0
1010,1010,1503945525043,44,-5,-12,-14,-17,-6,-12,7
1011,1011,1503945525058,-9,7,6,3,5,3,0,-11
1012,1012,1503945525067,31,-3,-5,-15,-4,0,4,9
1013,1013,1503945525074,19,15,24,72,84,16,-7,0
1014,1014,1503945525088,-25,-4,-5,6,19,2,5,1
1015,1015,1503945525096,-14,-16,-4,-44,-66,-11,-24,4
1016,1016,1503945525105,-7,15,-3,3,-8,-3,-7,-6
1017,1017,1503945525118,2,-4,-17,-19,-23,-1,15,20
