,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
767,767,1503515178884,-8,-16,-4,1,-13,-3,-2,-22
768,768,1503515178892,-18,-20,-19,-5,5,1,3,-14
769,769,1503515178897,17,13,17,4,1,0,-5,27
770,770,1503515178898,0,-1,-12,-8,-2,-3,-5,-4
771,771,1503515178912,-11,-7,1,3,8,1,6,-1
772,772,1503515178920,-4,-11,-2,-5,-9,-4,0,1
773,773,1503515178935,-1,55,32,7,0,0,3,12
774,774,1503515178942,28,12,13,4,0,0,-2,22
775,775,1503515178959,0,1,3,1,0,-1,-1,-7
776,776,1503515178972,-17,-14,-8,-3,-2,9,-4,-11
777,777,1503515178980,-16,-22,-27,-8,-5,-2,1,-8
778,778,1503515178988,11,11,1,-2,1,2,-1,18
779,779,1503515179002,0,10,0,0,-1,-1,-1,3
780,780,1503515179010,-1,-3,3,2,3,-3,-1,-7
781,781,1503515179018,1,12,-4,-1,-2,-1,-1,7
782,782,1503515179032,8,-2,1,3,2,-2,-1,-1
783,783,1503515179040,-16,-8,4,0,-1,1,0,-2
784,784,1503515179048,6,-9,-9,-6,0,-1,-2,-3
785,785,1503515179062,5,0,6,-2,-1,-2,-1,-1
786,786,1503515179070,10,9,1,1,-4,-3,1,1
787,787,1503515179077,-2,-1,0,-3,-3,-2,1,6
788,788,1503515179093,-3,-3,2,0,0,9,-2,-23
789,789,1503515179100,5,6,1,2,0,2,3,8
790,790,1503515179108,17,5,8,-1,-2,0,-2,8
791,791,1503515179123,-3,-3,2,0,0,-2,-1,0
792,792,1503515179130,-11,-3,6,5,1,-3,0,-2
793,793,1503515179137,-2,16,10,3,0,0,0,-2
794,794,1503515179153,-5,1,-1,-4,-2,-5,-2,-4
795,795,1503515179161,-5,-4,1,0,0,2,-4,-7
796,796,1503515179168,2,-4,1,1,1,-5,-2,5
797,797,1503515179182,-4,-11,1,-1,-2,-3,-2,-3
798,798,1503515179191,-5,-5,-5,-3,-3,-3,-1,-1
799,799,1503515179197,-6,-17,-17,-3,0,-2,-2,-5
800,800,1503515179212,4,-3,-7,1,0,-2,-1,-10
801,801,1503515179220,-14,-13,-7,-2,-3,-18,-3,-11
802,802,1503515179228,4,-4,-18,-6,-4,-3,-1,2
803,803,1503515179242,-2,8,11,1,0,5,0,1
804,804,1503515179250,-3,6,5,-2,1,-3,-1,-1
805,805,1503515179257,3,6,1,-2,-2,1,-3,0
806,806,1503515179272,0,-2,7,1,-1,1,0,1
807,807,1503515179280,0,-3,-11,-3,1,3,-1,-1
808,808,1503515179288,-7,-36,-8,-1,0,-2,0,4
809,809,1503515179302,5,-17,-8,-4,-2,2,-1,0
810,810,1503515179310,-3,-13,-4,6,0,1,0,3
811,811,1503515179317,4,2,-1,-1,0,3,-1,1
812,812,1503515179332,5,5,0,-4,-4,-2,0,1
813,813,1503515179340,5,21,16,7,1,-1,1,2
814,814,1503515179348,15,21,13,2,3,10,1,1
815,815,1503515179362,-5,0,2,-2,0,1,-4,-1
816,816,1503515179370,-18,0,-1,-3,-1,-1,0,-4
817,817,1503515179377,3,4,-3,-1,0,-1,1,-1
818,818,1503515179392,-1,42,25,4,2,1,1,-1
819,819,1503515179400,-1,15,-4,-3,-1,-4,-1,3
820,820,1503515179408,-10,-28,-20,-7,-3,-4,-3,-10
821,821,1503515179422,0,0,3,1,-1,0,-2,-4
822,822,1503515179431,-2,2,0,0,0,-2,-2,2
823,823,1503515179437,-5,-12,-4,-1,-1,1,1,2
824,824,1503515179455,1,-4,-7,-4,-2,-2,1,3
825,825,1503515179460,-23,-9,6,4,2,8,0,-3
826,826,1503515179468,-3,-5,-2,-1,-3,0,-1,3
827,827,1503515179482,5,13,7,4,1,-1,1,0
828,828,1503515179490,0,-23,-13,-1,-2,-2,-2,-3
829,829,1503515179497,14,-30,-17,-4,-3,0,-2,3
830,830,1503515179513,25,37,8,3,2,-3,-2,1
831,831,1503515179522,-9,-22,-4,3,-1,-3,-1,-1
832,832,1503515179528,-17,-18,-3,-2,-2,-2,-3,-2
833,833,1503515179542,-1,3,-3,-2,-1,0,1,0
834,834,1503515179550,10,4,5,-2,1,16,2,1
835,835,1503515179557,-8,-6,-6,-4,-4,-2,-2,1
836,836,1503515179573,13,6,-3,0,1,0,-3,-4
837,837,1503515179580,6,14,4,0,2,-3,1,4
838,838,1503515179589,11,-10,-13,-2,-3,-4,-3,-3
839,839,1503515179602,-9,24,10,-2,0,-4,0,-7
840,840,1503515179610,10,-9,-5,1,-2,-3,0,4
841,841,1503515179632,8,-25,-10,-4,-2,2,1,1
842,842,1503515179633,-38,-17,0,-3,1,-4,2,1
843,843,1503515179640,-4,17,11,5,0,-1,-3,0
844,844,1503515179656,10,0,3,-2,5,3,-2,-5
845,845,1503515179662,-3,-1,-4,-1,0,8,3,-3
846,846,1503515179670,-6,15,4,0,-6,-6,-3,0
847,847,1503515179685,3,6,0,-5,-6,0,-7,-6
848,848,1503515179693,14,-7,-8,5,4,-3,-3,-1
1597,1597,1503515187027,-9,-8,5,-2,0,0,-2,-16
1598,1598,1503515187042,15,26,0,-1,-3,0,3,26
1599,1599,1503515187049,2,34,10,9,1,1,6,11
1600,1600,1503515187064,-11,-28,-11,-4,0,-1,-2,18
1601,1601,1503515187071,-1,-3,-3,-2,-3,-1,3,3
1602,1602,1503515187080,-11,2,-7,-6,-1,0,1,-5
1603,1603,1503515187094,15,5,4,0,-5,-6,-16,-4
1604,1604,1503515187102,-2,0,4,0,-4,-22,-5,-21
1605,1605,1503515187110,-7,-37,-19,-5,-1,-2,1,-14
1606,1606,1503515187124,10,12,18,3,0,4,-2,-16
1607,1607,1503515187131,-12,-6,8,3,-1,-2,3,15
1608,1608,1503515187141,-2,-7,-10,-2,-1,3,5,13
1609,1609,1503515187154,5,8,1,0,0,2,2,-4
1610,1610,1503515187163,-5,-11,-11,-4,-2,-2,0,-7
1611,1611,1503515187169,3,-1,1,-4,-1,-2,1,6
1612,1612,1503515187185,0,-4,-4,-1,-3,-1,-4,3
1613,1613,1503515187191,10,-6,-4,-1,-2,-1,-1,-4
1614,1614,1503515187199,5,18,0,0,1,5,3,22
1615,1615,1503515187214,9,13,6,2,2,2,4,-2
1616,1616,1503515187222,-11,4,8,-2,-3,0,0,7
1617,1617,1503515187229,-1,7,6,3,-2,-1,0,-4
1618,1618,1503515187245,-8,-20,-11,-4,-2,0,-3,-21
1619,1619,1503515187251,-4,30,5,1,-3,-1,-4,-9
1620,1620,1503515187259,-3,-4,-5,-3,-3,-1,-3,-4
1621,1621,1503515187276,-2,4,7,0,-1,2,2,4
1622,1622,1503515187282,-2,5,1,0,-1,-3,-3,-5
1623,1623,1503515187289,-9,-12,0,-1,0,-2,-1,1
1624,1624,1503515187305,6,0,0,-1,1,1,0,-3
1625,1625,1503515187312,4,2,1,1,3,-1,0,2
1626,1626,1503515187319,3,5,7,4,-3,0,2,17
1627,1627,1503515187334,7,13,9,4,1,-1,-2,-2
1628,1628,1503515187343,-7,-34,-19,-4,-1,2,3,0
1629,1629,1503515187350,2,53,23,3,1,3,0,14
1630,1630,1503515187365,5,11,-1,-1,-2,-1,-2,-1
1631,1631,1503515187371,-5,-26,-14,-4,2,13,3,-7
1632,1632,1503515187380,-3,7,7,2,0,-9,-12,-7
1633,1633,1503515187394,0,-2,-3,-2,-3,-2,0,-5
1634,1634,1503515187402,2,-5,0,-2,-1,1,-1,-7
1635,1635,1503515187410,3,-14,-12,-5,-3,-4,0,4
1636,1636,1503515187424,-6,13,16,4,-1,3,-2,-12
1637,1637,1503515187425,-7,-7,-10,-2,-2,-3,1,-8
1638,1638,1503515187431,-3,-1,5,1,1,-3,-1,3
1639,1639,1503515187439,-9,-23,-29,-9,-3,-1,-2,-6
1640,1640,1503515187454,-9,-4,1,-2,-1,-4,-2,-3
1641,1641,1503515187462,14,10,-4,-3,-2,-1,-1,-8
1642,1642,1503515187469,8,2,-3,-1,-3,-5,-6,-24
1643,1643,1503515187486,-3,2,8,4,3,2,6,-1
1644,1644,1503515187491,-3,7,5,2,0,-3,-4,0
1645,1645,1503515187499,-3,10,9,4,0,1,-1,-5
1646,1646,1503515187515,0,-16,-11,-1,1,1,2,3
1647,1647,1503515187522,-3,0,7,1,1,0,-1,6
1648,1648,1503515187529,-3,-9,-9,-2,-3,-1,-3,-1
1649,1649,1503515187545,2,26,29,7,-1,0,-1,0
1650,1650,1503515187551,1,-3,-3,-3,-3,-1,-1,2
1651,1651,1503515187559,-1,-8,-9,-2,-2,1,3,0
1652,1652,1503515187574,1,5,10,2,0,-3,0,5
1653,1653,1503515187582,-5,-5,-4,-3,-1,-1,2,1
1654,1654,1503515187589,-1,-14,-8,-2,-2,0,0,-3
1655,1655,1503515187604,-11,-1,1,0,1,0,-2,-3
1656,1656,1503515187612,0,-3,-3,-1,-1,-2,-4,-3
1657,1657,1503515187620,1,-1,-3,0,-1,0,-1,2
1658,1658,1503515187634,5,-19,-14,-1,0,0,-1,5
1659,1659,1503515187642,-3,1,7,3,0,-1,-2,-2
1660,1660,1503515187649,-3,23,5,1,-1,0,2,-2
1661,1661,1503515187664,-8,-3,-8,-1,-2,-1,-2,-5
1662,1662,1503515187671,0,16,7,1,1,-1,1,-1
1663,1663,1503515187679,0,16,5,0,1,-2,-1,-2
1664,1664,1503515187694,16,15,-2,-3,-1,-1,-1,2
1665,1665,1503515187702,15,-5,-5,-3,0,1,1,6
1666,1666,1503515187711,-23,-26,-9,-3,-2,-4,-4,-5
1667,1667,1503515187724,0,-6,-4,-1,0,1,-1,2
1668,1668,1503515187731,1,6,3,-3,0,2,-1,0
1669,1669,1503515187739,-5,-1,2,1,1,-3,-2,-1
1670,1670,1503515187755,6,-6,-4,-3,-1,0,2,3
1671,1671,1503515187762,0,-8,-6,-4,-3,0,2,-3
1672,1672,1503515187781,-4,-1,4,1,2,1,-1,1
1673,1673,1503515187784,9,8,6,0,0,2,1,1
1674,1674,1503515187793,-2,-3,-1,-1,-4,-3,-2,-3
1675,1675,1503515187800,6,-2,-1,-1,2,16,2,1
1676,1676,1503515187822,-9,-1,0,0,0,0,-4,-3
1677,1677,1503515187823,-3,-4,-1,-1,-1,-3,3,19
1678,1678,1503515187838,-1,11,6,1,-1,-1,2,0
1679,1679,1503515187846,2,5,4,-1,-1,-3,-6,-3
1680,1680,1503515187853,4,-5,-7,3,0,-3,0,-3
1681,1681,1503515187859,-6,-8,-4,1,-2,-4,-4,-12
1682,1682,1503515187875,-13,-11,8,3,1,1,0,-3
1683,1683,1503515187882,-14,-44,-18,-2,-2,-4,-1,-6
1684,1684,1503515187897,-6,-23,-11,-1,0,-1,0,3
1685,1685,1503515187904,-6,11,3,0,0,-4,-2,-2
1686,1686,1503515187919,8,16,5,1,-1,0,1,3
1687,1687,1503515187921,11,14,4,-2,-3,-2,0,3
1688,1688,1503515187935,1,19,1,-4,0,0,-3,-1
1689,1689,1503515187942,12,5,1,-1,0,-2,1,-9
1690,1690,1503515187957,5,-1,2,-3,-3,-3,-3,-7
1691,1691,1503515187964,-1,24,10,-2,-2,11,-2,3
1692,1692,1503515187972,4,1,-1,-2,-1,0,0,-2
1693,1693,1503515187987,-2,12,8,3,1,2,1,-3
1694,1694,1503515187995,-32,-3,12,5,1,0,-3,3
2517,2517,1503515196073,-6,31,16,-2,-1,1,2,6
2518,2518,1503515196086,11,30,9,-1,-2,0,-1,-1
2519,2519,1503515196094,9,17,-2,-2,0,0,-3,-10
2520,2520,1503515196104,-9,-7,-6,0,0,-1,0,-2
2521,2521,1503515196116,5,-3,-1,1,0,-3,0,4
2522,2522,1503515196124,-3,-5,-4,-2,-3,-2,1,-1
2523,2523,1503515196131,-3,-10,-4,-2,0,0,-1,1
2524,2524,1503515196147,0,-3,0,-1,1,0,3,-4
2525,2525,1503515196154,-5,-6,-5,-2,-1,1,10,-1
2526,2526,1503515196162,-1,4,3,0,-2,-1,-6,-1
2527,2527,1503515196176,8,-5,-4,-2,-2,-2,0,3
2528,2528,1503515196184,-14,16,7,-1,0,-1,-6,0
2529,2529,1503515196191,-12,-4,-2,-1,-1,-2,-3,-3
2530,2530,1503515196208,2,-14,-9,0,0,0,-1,6
2531,2531,1503515196214,0,2,0,-1,0,0,-5,4
2532,2532,1503515196222,-4,-1,-1,-1,-1,0,-2,-1
2533,2533,1503515196242,1,-4,-2,-2,-3,-1,-1,-5
2534,2534,1503515196244,1,-4,-3,-2,-2,-1,3,-2
2535,2535,1503515196251,1,-1,3,-1,0,-1,-4,-4
2536,2536,1503515196266,3,1,-3,-3,0,-1,-2,-3
