,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1560,1560,1503685050266,-12,3,9,-1,-6,-4,-1,1
1561,1561,1503685050277,-24,-8,-6,-8,-12,-4,2,-6
1562,1562,1503685050284,-29,-3,6,7,8,2,-8,-13
1563,1563,1503685050292,7,-5,-2,-2,-8,-6,-7,4
1564,1564,1503685050299,30,16,10,-1,-3,-1,4,10
1565,1565,1503685050315,27,48,44,13,6,4,5,20
1566,1566,1503685050322,-23,-9,-5,-2,-1,-4,-5,-21
1567,1567,1503685050339,-14,1,0,-4,-4,-2,-9,-12
1568,1568,1503685050344,0,10,7,2,3,2,-2,-5
1569,1569,1503685050352,2,-2,3,1,0,4,10,16
1570,1570,1503685050359,8,4,3,5,7,2,5,1
1571,1571,1503685050375,-47,-8,10,-1,-5,-1,4,0
1572,1572,1503685050382,4,-20,-21,-2,3,2,-3,7
1573,1573,1503685050399,-7,-10,-8,-3,1,1,2,-12
1574,1574,1503685050411,-21,-3,-13,-4,-4,-1,2,-3
1575,1575,1503685050412,25,4,-5,-3,-3,-6,-14,1
1576,1576,1503685050419,20,3,4,-1,-3,-1,3,5
1577,1577,1503685050434,24,25,11,1,0,0,3,-3
1578,1578,1503685050441,12,-8,-4,-1,0,2,6,37
1579,1579,1503685050457,-2,-5,-10,-2,1,6,12,17
1580,1580,1503685050465,-9,-8,-19,-9,-4,-2,-1,-14
1581,1581,1503685050466,-17,14,27,4,-1,-2,-8,-13
1582,1582,1503685050472,0,-3,-8,-1,1,3,-3,-6
1583,1583,1503685050479,1,-4,0,0,-3,-9,-16,-8
1584,1584,1503685050494,19,19,5,1,1,2,0,-7
1585,1585,1503685050495,-27,-22,-7,-4,-3,-3,2,-10
1586,1586,1503685050501,5,4,6,3,3,2,10,22
1587,1587,1503685050517,14,1,-11,-5,-4,-3,3,4
1588,1588,1503685050524,7,-6,-8,-5,-1,-3,-4,36
1589,1589,1503685050533,23,2,-5,-4,-4,-3,-4,-10
1590,1590,1503685050539,-14,6,11,5,3,2,1,-5
1591,1591,1503685050554,0,-10,-3,2,2,1,1,35
1592,1592,1503685050561,12,15,6,2,-1,0,0,-11
1593,1593,1503685050562,8,2,0,1,0,-1,-3,-16
1594,1594,1503685050577,-45,-13,-1,-1,-1,-3,-7,-19
1595,1595,1503685050585,-19,-21,-18,-11,-6,-3,1,-19
1596,1596,1503685050601,-19,1,1,-2,-3,-3,-8,-32
1597,1597,1503685050614,9,17,4,2,-1,-1,-1,-4
1598,1598,1503685050622,-29,-6,1,-1,0,-4,-4,-30
1599,1599,1503685050637,6,4,5,1,1,1,0,-1
1600,1600,1503685050644,18,12,3,-2,-2,2,0,9
1601,1601,1503685050652,-12,6,2,0,0,-1,3,-15
1602,1602,1503685050659,-12,-3,1,3,4,1,3,2
1603,1603,1503685050675,1,-4,-5,-1,-3,-2,-3,-7
1604,1604,1503685050681,5,1,-2,-2,-1,2,5,1
2074,2074,1503685055303,11,-9,-2,1,-1,-3,-10,11
2075,2075,1503685055316,-9,-1,-4,-6,-12,-9,-3,-8
2076,2076,1503685055324,4,-4,-2,1,3,-4,2,1
2077,2077,1503685055333,14,6,2,-6,4,0,-3,2
2078,2078,1503685055346,-12,-5,-7,0,4,0,0,-14
2079,2079,1503685055353,-5,-13,-7,-4,0,-3,-5,-5
2080,2080,1503685055361,-16,-3,1,0,0,-3,2,-3
2081,2081,1503685055376,6,7,2,-4,-7,-3,0,-8
2082,2082,1503685055384,13,9,5,12,22,2,2,10
2083,2083,1503685055391,-10,-10,-2,6,14,1,1,4
2084,2084,1503685055406,-14,-9,-2,-5,-6,-1,-3,-3
2085,2085,1503685055413,-6,-6,-4,-10,-26,-9,-7,-15
2086,2086,1503685055421,-18,-7,0,10,16,5,-2,-2
2087,2087,1503685055437,31,15,4,-11,-13,-6,-5,4
2088,2088,1503685055444,18,2,-7,-9,-13,-8,0,12
2089,2089,1503685055451,-4,-5,0,-12,-41,-13,-1,-2
2090,2090,1503685055468,-2,0,0,4,6,6,-2,-9
2091,2091,1503685055473,-5,-17,-7,10,11,5,5,-4
2092,2092,1503685055481,-27,-26,-6,-4,-10,8,11,-3
2093,2093,1503685055496,-20,-9,-9,-10,-11,-8,-7,-9
2094,2094,1503685055505,-12,18,30,14,3,0,0,0
2095,2095,1503685055511,-16,-2,-3,4,24,5,3,7
2096,2096,1503685055526,11,-7,-9,-12,-8,-8,-31,-24
2097,2097,1503685055535,-17,-8,-2,3,14,4,-5,7
2098,2098,1503685055549,25,5,-3,-5,-22,-13,10,17
2099,2099,1503685055557,-8,-8,-3,0,10,5,-7,2
2100,2100,1503685055564,-15,1,-1,-18,-27,-10,3,-8
2101,2101,1503685055579,32,11,1,-12,-26,-10,3,1
2102,2102,1503685055586,-13,-7,-6,1,-4,8,-2,-1
2103,2103,1503685055596,-3,-6,-1,5,5,-2,-5,-30
2104,2104,1503685055610,22,7,4,-3,-9,0,-1,29
2105,2105,1503685055611,-2,-11,-11,0,13,-3,-1,6
2106,2106,1503685055617,-28,2,-3,7,19,5,-16,-18
2107,2107,1503685055624,7,-4,-3,-3,20,8,3,-18
2108,2108,1503685055640,7,-2,-5,-18,-17,1,17,19
2109,2109,1503685055646,-23,-29,-11,-5,-1,-8,-3,13
2110,2110,1503685055654,14,9,-2,6,11,2,10,11
2111,2111,1503685055669,36,20,-9,-1,3,5,-11,11
2112,2112,1503685055684,28,17,16,15,7,4,-6,19
2113,2113,1503685055686,5,10,-6,-6,-9,-10,-6,-25
2114,2114,1503685055702,23,15,24,8,4,-3,-6,10
2115,2115,1503685055707,25,7,7,3,0,0,8,12
2116,2116,1503685055722,-20,-16,-11,-3,5,0,-1,-9
2117,2117,1503685055729,13,25,16,7,3,2,-5,10
2118,2118,1503685055737,15,5,5,2,-10,-1,2,13
2119,2119,1503685055745,-21,-3,10,1,-4,-2,-1,-1
2120,2120,1503685055759,-17,-3,5,-5,-5,-8,-5,-14
2121,2121,1503685055766,20,22,31,16,8,7,4,10
2122,2122,1503685055767,-5,-12,-6,2,2,0,7,25
2123,2123,1503685055782,-6,-11,-19,-11,-2,2,-1,-5
2124,2124,1503685055789,-16,-4,-8,-12,-15,-2,9,-3
2125,2125,1503685055797,-4,-16,-18,-2,21,2,-2,-28
2126,2126,1503685055804,15,13,5,6,-4,-1,1,16
2127,2127,1503685055820,45,20,8,-5,-9,0,12,47
2128,2128,1503685055826,-35,-12,-1,3,5,2,-1,-24
2129,2129,1503685055842,-6,-3,-13,0,-3,-4,1,5
2130,2130,1503685055849,26,4,-10,-8,-5,-3,10,0
2131,2131,1503685055857,-35,-3,3,1,0,-4,0,-32
2132,2132,1503685055864,-13,-23,-6,-2,2,0,1,-14
2133,2133,1503685055879,-5,3,-8,-5,-1,-3,3,5
2134,2134,1503685055880,11,9,8,9,4,1,-6,4
2135,2135,1503685055886,-7,-8,-5,-2,-2,0,-6,4
2136,2136,1503685055905,1,-11,-6,0,-4,0,-4,13
2137,2137,1503685055909,20,11,5,6,5,1,-4,2
2138,2138,1503685055917,-11,-2,0,2,1,2,4,12
2139,2139,1503685055924,39,28,8,5,4,6,7,-3
2140,2140,1503685055943,-14,2,7,3,0,-2,1,-8
2141,2141,1503685055947,0,-1,-1,0,4,4,3,0
2142,2142,1503685055962,-29,-16,-3,-6,-4,-7,-14,-14
2143,2143,1503685055970,4,20,10,-2,1,-1,12,3
2144,2144,1503685055971,5,-4,-3,6,8,2,-7,5
