,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
874,874,1503686434467,3,14,12,17,3,3,0,-3
875,875,1503686434482,-5,9,6,-2,-1,5,3,5
876,876,1503686434490,-3,-2,-11,-10,3,0,-9,-12
877,877,1503686434504,-6,-8,-10,-6,-3,-5,-3,-7
878,878,1503686434512,0,0,2,3,-3,-4,-1,3
879,879,1503686434524,8,-4,-9,-2,0,-1,0,8
880,880,1503686434527,-5,-9,-8,0,4,-3,3,-5
881,881,1503686434542,5,9,4,4,-1,4,1,0
882,882,1503686434549,-5,-2,-3,-6,-5,-3,2,5
883,883,1503686434564,-2,-10,-9,-4,-2,-6,-2,-4
884,884,1503686434572,-7,-8,-5,1,5,-4,-8,-14
885,885,1503686434580,-7,-8,-4,-14,-4,0,-2,-8
886,886,1503686434591,-3,2,-1,-5,-7,0,2,3
887,887,1503686434609,-10,-1,-5,4,-1,2,-3,-1
888,888,1503686434610,4,3,-1,-7,-4,-3,-12,-6
889,889,1503686434625,-14,-10,-3,-7,-3,-8,-6,-5
890,890,1503686434632,0,0,-3,2,-2,2,-4,2
891,891,1503686434640,6,3,-6,-5,-1,-6,-7,-1
892,892,1503686434647,-5,-3,-1,13,7,-2,2,-1
893,893,1503686434662,5,2,10,8,6,5,4,1
894,894,1503686434669,0,-2,1,-3,-9,2,0,-4
895,895,1503686434685,-11,-19,-14,-11,-4,-5,1,-4
896,896,1503686434692,-1,-6,-1,-5,1,-1,7,6
897,897,1503686434700,8,-1,-1,0,-5,4,-1,17
898,898,1503686434707,2,-3,-1,6,-3,2,0,0
899,899,1503686434723,-8,5,-5,5,1,-4,-7,-16
900,900,1503686434729,-9,0,0,-8,-7,-3,-3,-8
901,901,1503686434745,-2,-1,1,-1,0,-2,1,-1
902,902,1503686434752,-4,1,-2,-2,4,-7,-7,-8
903,903,1503686434761,7,0,-1,4,-6,1,5,11
904,904,1503686434767,16,18,21,2,2,4,1,6
905,905,1503686434782,-5,1,6,-3,-3,-3,-6,-8
906,906,1503686434792,2,1,-5,-5,1,3,7,19
907,907,1503686434805,-1,7,3,-1,3,0,-3,-15
908,908,1503686434812,-9,-3,-1,-6,-1,-1,-12,-27
909,909,1503686434820,-11,-14,-10,-8,-7,-4,-1,0
910,910,1503686434834,-8,-4,-2,1,2,5,9,7
911,911,1503686434842,9,4,-3,-5,0,-3,7,10
912,912,1503686434850,2,-11,-4,-3,-2,-9,-3,5
913,913,1503686434864,2,3,6,-1,1,4,-4,-2
914,914,1503686434865,-3,-1,3,-1,-3,0,-2,-11
915,915,1503686434872,-4,-4,-3,-4,-10,-2,-1,-5
916,916,1503686434880,-7,-1,7,2,4,-2,-9,-9
917,917,1503686434894,12,2,5,1,6,-3,5,1
918,918,1503686434902,-2,2,-5,1,-4,0,3,10
919,919,1503686434909,13,4,-6,7,-3,0,-10,1
920,920,1503686434926,2,0,-5,2,1,2,0,-5
921,921,1503686434932,3,1,3,-1,-2,0,6,8
922,922,1503686434940,7,3,2,-3,5,0,1,12
923,923,1503686434954,-3,-8,-3,-4,1,-1,0,2
924,924,1503686434963,-2,-4,5,2,-1,1,-1,-5
925,925,1503686434969,-1,1,-1,-4,-1,0,1,4
926,926,1503686434984,1,2,4,4,-2,3,8,3
927,927,1503686434993,-1,-1,-2,6,0,-2,-4,1
928,928,1503686435000,-4,-7,-5,-2,-3,2,-11,-2
929,929,1503686435014,-12,0,-2,-7,-5,0,-4,-15
930,930,1503686435022,3,-4,4,2,2,-2,4,1
931,931,1503686435029,-1,-4,-2,-4,-1,1,0,-5
932,932,1503686435044,-4,-3,-4,-3,3,-4,1,2
933,933,1503686435051,-5,2,-4,6,-2,0,-4,3
934,934,1503686435059,0,3,2,3,4,-2,0,1
935,935,1503686435074,0,4,5,-1,-3,0,-2,0
936,936,1503686435089,0,2,-5,-6,0,7,4,3
937,937,1503686435092,0,-3,-6,2,5,-2,2,6
938,938,1503686435105,4,2,-3,5,1,0,-3,1
939,939,1503686435111,-1,-1,0,-2,-4,-6,1,-8
940,940,1503686435119,3,-2,0,-4,-5,-6,-5,-7
941,941,1503686435120,-2,-5,-4,-3,-7,-6,0,-9
942,942,1503686435134,-5,1,3,8,6,3,0,5
943,943,1503686435142,0,1,-2,-3,-5,0,-1,5
944,944,1503686435149,-8,-10,-10,-4,-1,0,2,-6
945,945,1503686435164,-3,-2,2,1,2,5,-2,2
946,946,1503686435171,1,-1,1,-11,1,-2,-5,-7
947,947,1503686435180,-3,-4,-4,3,-8,-7,-4,-14
948,948,1503686435194,1,-6,3,0,-5,-2,2,-2
949,949,1503686435202,-3,2,2,1,2,-2,2,-1
950,950,1503686435209,6,1,2,0,3,-3,1,-2
951,951,1503686435224,7,7,-1,-4,4,3,-4,5
952,952,1503686435232,-6,0,-3,-3,-4,1,-5,3
953,953,1503686435240,-2,-3,-1,-5,-3,-3,2,0
954,954,1503686435254,1,1,0,1,-2,-1,-3,-2
955,955,1503686435262,-1,0,4,2,0,1,-10,-7
956,956,1503686435269,-3,-3,0,-2,1,-6,-3,-5
