,SampleNumber,TimeStamp,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
867,867,1503683571824,-9,37,25,1,6,-1,-3,-4
868,868,1503683571832,9,-1,-10,-2,-20,-3,-3,0
869,869,1503683571839,-5,-7,-4,0,-5,0,-2,-1
870,870,1503683571855,-11,-33,12,4,-3,-1,-2,-3
871,871,1503683571861,-10,-12,-5,-3,-4,-1,0,-2
872,872,1503683571877,7,14,3,-4,1,0,-2,-1
873,873,1503683571878,15,-2,-7,0,4,-2,-11,-1
874,874,1503683571884,0,-23,-12,-4,0,2,-3,-6
875,875,1503683571892,3,31,-4,-3,-2,0,0,-4
876,876,1503683571899,4,12,7,-1,-5,1,0,0
877,877,1503683571915,-4,-11,-7,-6,-7,-5,-8,-11
878,878,1503683571921,-11,-26,-17,-5,-3,-1,3,1
879,879,1503683571938,4,25,11,-3,-13,2,4,4
880,880,1503683571951,6,-2,1,-1,-23,-4,-1,-1
881,881,1503683571952,-5,-11,-6,13,23,1,1,-4
882,882,1503683571975,-1,3,1,-1,-1,-2,-3,0
883,883,1503683571978,-4,-14,-9,-3,-6,-2,-8,-5
884,884,1503683571982,-3,20,3,2,21,2,-2,-6
885,885,1503683571997,-18,-5,-2,-6,-8,-1,1,-1
886,886,1503683572004,19,23,18,3,1,-1,-1,0
887,887,1503683572012,6,10,9,3,7,2,3,2
888,888,1503683572026,-4,-2,-8,-1,13,2,2,5
889,889,1503683572037,1,2,-12,-3,-2,-3,-2,-2
890,890,1503683572042,-35,-22,-8,8,10,-4,-4,-4
891,891,1503683572057,-4,-14,1,15,-7,0,0,-1
892,892,1503683572064,16,3,-2,5,-5,0,7,9
893,893,1503683572072,-5,-9,-6,-9,5,-2,-1,-3
894,894,1503683572086,1,-4,0,7,-17,-4,-2,-3
895,895,1503683572094,-5,-3,-6,-3,-3,0,-2,0
896,896,1503683572103,-3,-10,-2,-11,6,13,3,5
897,897,1503683572117,-2,10,-3,-3,4,1,4,5
898,898,1503683572124,8,3,6,2,0,-4,0,-2
899,899,1503683572139,-1,-1,-2,-7,-6,-2,2,-1
900,900,1503683572146,-1,13,10,-6,-11,-1,0,4
901,901,1503683572162,0,-6,-6,11,10,5,-5,-5
902,902,1503683572177,7,-2,2,-8,-10,1,0,-7
903,903,1503683572184,-10,-6,-4,4,5,-1,2,-1
904,904,1503683572192,36,6,3,3,2,1,-12,-32
905,905,1503683572207,-13,3,8,7,6,-6,-23,-32
906,906,1503683572215,-20,-17,-7,-2,1,5,6,13
907,907,1503683572221,9,7,10,6,-1,-1,-3,17
908,908,1503683572222,-13,-3,-11,-7,-8,2,7,46
909,909,1503683572238,-8,-1,-3,-3,-4,-1,1,36
910,910,1503683572244,-32,-12,-11,-8,-7,-7,1,-6
911,911,1503683572252,8,7,3,-1,-2,1,2,4
912,912,1503683572266,21,9,14,-1,-2,1,4,-1
913,913,1503683572275,-8,-7,-3,-3,-2,-1,-3,-11
914,914,1503683572281,-6,-6,-5,-3,-6,-3,-1,-6
915,915,1503683572297,2,2,2,7,16,2,1,10
916,916,1503683572306,10,-8,-12,-20,-31,-3,-3,-3
917,917,1503683572313,2,6,1,-3,-11,-1,4,-7
918,918,1503683572327,1,-4,-4,-3,-1,-6,-1,-11
919,919,1503683572335,5,-10,0,-2,-8,-2,-1,-11
920,920,1503683572342,7,4,4,5,5,3,6,23
921,921,1503683572357,-10,8,12,4,5,0,-9,-39
922,922,1503683572364,-4,1,-15,0,6,0,2,-5
923,923,1503683572372,6,-3,-4,-2,-4,1,2,15
924,924,1503683572386,-9,0,0,0,3,0,-1,-13
925,925,1503683572395,13,1,-1,-2,-2,-5,-12,1
926,926,1503683572401,31,-4,-3,-9,-9,-4,-3,19
927,927,1503683572417,-26,-8,-2,-2,-2,-1,2,5
928,928,1503683572424,-9,0,5,10,6,2,0,-11
929,929,1503683572432,5,7,0,3,1,-3,2,-1
930,930,1503683572447,-13,0,1,-6,-3,-2,3,-8
931,931,1503683572455,-5,-15,-13,-2,1,3,5,13
932,932,1503683572461,20,-1,-7,-7,-1,-2,-3,11
933,933,1503683572477,-14,-11,-3,-2,-2,1,4,0
934,934,1503683572484,19,-4,-7,2,3,1,-4,-32
935,935,1503683572492,-12,9,-4,-2,1,2,3,-53
936,936,1503683572507,-7,-10,-3,-3,-3,-2,4,14
937,937,1503683572515,10,3,1,-1,-2,-2,-3,5
938,938,1503683572521,-16,-13,-2,1,0,0,-5,-15
939,939,1503683572539,43,18,21,3,2,2,4,37
940,940,1503683572544,1,-13,-4,-4,-1,1,-2,3
941,941,1503683572552,6,6,-5,-4,-6,-7,-3,13
942,942,1503683572566,10,8,8,1,2,1,-3,6
943,943,1503683572575,24,-11,-11,-4,-3,-1,-5,-4
944,944,1503683572582,-63,-4,-2,3,3,1,-2,3
945,945,1503683572597,-11,0,2,1,-5,-3,0,4
946,946,1503683572604,2,15,5,1,0,0,3,5
947,947,1503683572612,-15,-10,-2,2,0,1,-1,4
948,948,1503683572626,12,-9,-4,-2,-1,-2,-2,-5
949,949,1503683572635,-13,-1,-8,-1,1,0,4,-3
950,950,1503683572641,16,11,7,1,-3,-5,-12,-9
951,951,1503683572657,5,19,8,-1,-1,2,1,-6
952,952,1503683572664,5,5,0,-1,0,1,-1,1
953,953,1503683572675,-4,1,3,0,1,-4,-5,0
954,954,1503683572686,-7,2,1,-2,0,1,2,-1
1421,1421,1503683577329,-17,-3,-8,-1,-3,-3,-1,11
1422,1422,1503683577337,14,0,-2,-8,-12,-1,0,-2
1423,1423,1503683577344,-2,-4,-2,-14,-20,-2,-1,11
1424,1424,1503683577359,9,4,1,3,19,0,0,9
1425,1425,1503683577366,-12,10,3,9,11,1,-4,-39
1426,1426,1503683577382,-4,-1,1,-3,-6,3,0,-8
1427,1427,1503683577389,3,-3,-8,-7,-3,-1,-2,0
